<details> <summary> <b>openwrt-passwall2 new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. (c69b21b16dda25807bf35ffe670170dea29aa042...54049fdc5444a9a38a796494272416625b3920a0)](https://github.com/Openwrt-Passwall/openwrt-passwall2/compare/c69b21b16dda25807bf35ffe670170dea29aa042...54049fdc5444a9a38a796494272416625b3920a0)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
54049fd|handsomeji|Tue May 5 22:38:23 2026 +0800|luci: update Makefile
0b04e89|handsomeji|Tue Feb 25 23:11:11 2025 +0800|luci: support clash subscribe
5f59ab8|A-BO|Tue May 5 02:30:43 2026 +0800|luci: improve vmess subscribe
925a353|A-BO|Sun May 3 23:35:36 2026 +0800|luci: support xray freedom `finalRules` (action = allow)
a008fab|A-BO|Sun May 3 13:29:33 2026 +0800|luci: unified conver of node address to lowercase
b114228|A-BO|Sun Apr 26 20:20:59 2026 +0800|luci: support xray dns outbound rules
b98151a|A-BO|Sun May 3 13:55:05 2026 +0800|luci: fix
8553b6f|A-BO|Tue Apr 28 20:25:00 2026 +0800|luci: remove `echForceQuery` of xray
</details>
