<details> <summary> <b>packages new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. (8f0487e3cd881c908634cd58d5f19825e9004165...9d21ae39588daddd6d0abc23697034da32b7675b)](https://github.com/immortalwrt/packages/compare/8f0487e3cd881c908634cd58d5f19825e9004165...9d21ae39588daddd6d0abc23697034da32b7675b)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
9d21ae395|David Mandy|Fri May 1 13:40:28 2026 +0800|ddns-go: bump to 6.17.0
bc089de06|Tianling Shen|Wed May 6 15:48:29 2026 +0800|Merge Official Source
fc6717da0|Rosen Penev|Thu Jan 29 21:26:43 2026 -0800|ffmpeg: update to 6.1.4
8c48a7b3b|John Audia|Tue Apr 28 14:35:58 2026 -0400|rsync: update to 3.4.2
fa03f55fc|Sander van Deijck|Sat May 2 23:31:15 2026 +0200|openvpn: disable wolfssl support
deef5e5f0|Sander van Deijck|Sat May 2 20:22:11 2026 +0200|openvpn: update to 2.7.4
a3bd79d5b|Dirk Brenken|Mon May 4 19:42:14 2026 +0200|banip: update 1.8.8-2
5d9fd8b89|Stan Grishin|Wed Apr 29 17:38:35 2026 +0000|https-dns-proxy: update to 2026.03.18-1
8b7f590ba|Dirk Brenken|Sun May 3 19:59:52 2026 +0200|adblock: update 4.5.5-2
4dc93bb79|Dmitriy Zh|Sun Apr 12 08:58:12 2026 +0000|fix: remove depends on PACKAGE_lpac from Config.in
54ac30fa5|Zhitomirskiy Dmitriy|Tue Mar 31 07:53:51 2026 +0000|lpac: upgrade to 2.3.0 - enable uqmi and LPAC_WITH_PCSC
16eba2e55|Vladimir Ulrich|Fri May 1 19:15:41 2026 +0300|zoneinfo: updated to 2026b release
db3b31511|Dirk Brenken|Thu Apr 30 11:36:40 2026 +0200|banip: release 1.8.8-1
28f4a2e87|Sandro Jäckel|Tue Apr 7 23:06:36 2026 +0200|tailscale: update to 1.96.4
35c074cc0|Tung-Yi Chen|Fri Mar 6 02:24:22 2026 +0800|tailscale: fix fw_mode env by using append_param


</details>
