<details> <summary> <b>luci new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. (28190ed6720bcd958930ff811e0997635519d9a8...e70cf73f46e6fc204e7defe2a79c2c7c184ed0c7)](https://github.com/coolsnowwolf/luci/compare/28190ed6720bcd958930ff811e0997635519d9a8...e70cf73f46e6fc204e7defe2a79c2c7c184ed0c7)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
e70cf73f46|coolsnowwolf|Tue Apr 28 10:45:13 2026 +0800|luci-mod-network: fix wiphy radios BE mode detection
513563c1de|coolsnowwolf|Mon Apr 27 23:51:21 2026 +0800|luci: fix qcawifi 6ghz and eht320 handling
4a1bdcb04f|coolsnowwolf|Mon Apr 27 15:28:06 2026 +0800|luci-mod-network: fix jsmin compatibility
0668fb055d|coolsnowwolf|Sun Apr 26 03:08:17 2026 +0800|luci-mod-network: fix auto channel info for qcawifi
c388cb5544|coolsnowwolf|Sun Apr 26 02:25:24 2026 +0800|luci-mod-network: add wireless offload with PPE option
8679a164f5|coolsnowwolf|Sun Apr 26 01:03:02 2026 +0800|luci-mod-network: add BE 6G 320Mhz Width
1fed1016b9|coolsnowwolf|Sat Apr 25 12:08:11 2026 +0800|luci-mod-network: reserve qcawifi BE mode when current select AX mode
6fc70a4129|coolsnowwolf|Sat Apr 25 10:06:49 2026 +0800|luci-base: wizard pending for quickstart
0ab227c769|coolsnowwolf|Fri Apr 24 13:54:50 2026 +0800|luci-app-eqos: add nss hw qos support
</details>
