<details> <summary> <b>packages new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. (a3bd79d5bc1bcbc1edb7053fc7d4d75e3e93e1d1...81ebb0b3e5716205d475e846eb1d33b05c1cdf26)](https://github.com/openwrt/packages/compare/a3bd79d5bc1bcbc1edb7053fc7d4d75e3e93e1d1...81ebb0b3e5716205d475e846eb1d33b05c1cdf26)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
81ebb0b3e|Stan Grishin|Mon May 4 03:01:56 2026 +0000|https-dns-proxy: update to 2026.03.18-2
609846743|Chester A. Unal|Sat May 2 18:56:47 2026 +0100|bsbf-resources: update to GIT HEAD of 2026-05-06
51fdb917c|Chester A. Unal|Tue May 5 08:58:20 2026 +0100|bsbf-bonding: fix checking if interface is a bridge
eb041d2fe|Alexandru Ardelean|Tue May 5 09:49:32 2026 +0300|avahi: update to 0.9-rc4
fc6717da0|Rosen Penev|Thu Jan 29 21:26:43 2026 -0800|ffmpeg: update to 6.1.4
8c48a7b3b|John Audia|Tue Apr 28 14:35:58 2026 -0400|rsync: update to 3.4.2
fa03f55fc|Sander van Deijck|Sat May 2 23:31:15 2026 +0200|openvpn: disable wolfssl support
deef5e5f0|Sander van Deijck|Sat May 2 20:22:11 2026 +0200|openvpn: update to 2.7.4
</details>
